"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"53","ASV_53","High-MH","None","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Xystonellidae","Parafavella",NA
"54","ASV_54","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"55","ASV_55","None","None",NA,NA,NA,NA,NA,NA,NA
"56","ASV_56","Low","626736","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Codonellidae","Tintinnopsis","Tintinnopsis cylindrica"
"57","ASV_57","Low","140496","Eukaryota","Ctenophora","Tentaculata","Cydippida","Mertensiidae","Mertensia","Mertensia ovum"
"58","ASV_58","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"59","ASV_59","Low","5949","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Stylonychia","Stylonychia lemnae"
"60","ASV_60","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"61","ASV_61","Low","99922","Eukaryota","Ciliophora","Spirotrichea","Urostylida","Urostylidae","Paruroleptus","Paruroleptus lepisma"
"62","ASV_62","Low","1532400","Eukaryota","Streptophyta","Magnoliopsida","Liliales","Liliaceae","Fritillaria","Fritillaria messanensis"
"63","ASV_63","None","None",NA,NA,NA,NA,NA,NA,NA
"64","ASV_64","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"65","ASV_65","Low","390142","Eukaryota","Ciliophora","Spirotrichea","Urostylida","Pseudokeronopsidae","Pseudokeronopsis","Pseudokeronopsis rubra"
"66","ASV_66","Low","584794","Eukaryota","","Dinophyceae","Suessiales","Biecheleriaceae","Biecheleria","Biecheleria cincta"
"67","ASV_67","None","None",NA,NA,NA,NA,NA,NA,NA
"68","ASV_68","Low","181622","Eukaryota","Ciliophora","Spirotrichea","Choreotrichida","Strombidinopsidae","Strombidinopsis","Strombidinopsis sp."
"69","ASV_69","None","None",NA,NA,NA,NA,NA,NA,NA
"70","ASV_70","None","None",NA,NA,NA,NA,NA,NA,NA
"71","ASV_71","Low","503034","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Pleuromamma","Pleuromamma xiphias"
"72","ASV_72","Low","181621","Eukaryota","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Strobilidium","Strobilidium sp."
"73","ASV_73","None","None",NA,NA,NA,NA,NA,NA,NA
"74","ASV_74","None","None",NA,NA,NA,NA,NA,NA,NA
"75","ASV_75","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"76","ASV_76","High","645386","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Dimophyes","Dimophyes arctica"
"77","ASV_77","Low","200601","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Oxytricha","Oxytricha sp. Steamboat Hot Springs"
"78","ASV_78","Low","99922","Eukaryota","Ciliophora","Spirotrichea","Urostylida","Urostylidae","Paruroleptus","Paruroleptus lepisma"
"79","ASV_79","None","None",NA,NA,NA,NA,NA,NA,NA
"80","ASV_80","Low","645386","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Dimophyes","Dimophyes arctica"
"81","ASV_81","None","None",NA,NA,NA,NA,NA,NA,NA
"82","ASV_82","Low","5974","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Halteriidae","Halteria","Halteria grandinella"
"83","ASV_83","Low","367907","Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Bougainvilliidae","Bougainvillia","Bougainvillia principis"
"84","ASV_84","Low","140496","Eukaryota","Ctenophora","Tentaculata","Cydippida","Mertensiidae","Mertensia","Mertensia ovum"
"85","ASV_85","Low","541016","Eukaryota","Ciliophora","Heterotrichea","Heterotrichida","Peritromidae","Peritromus","Peritromus faurei"
"86","ASV_86","None","None",NA,NA,NA,NA,NA,NA,NA
"87","ASV_87","None","None",NA,NA,NA,NA,NA,NA,NA
"88","ASV_88","Low","99922","Eukaryota","Ciliophora","Spirotrichea","Urostylida","Urostylidae","Paruroleptus","Paruroleptus lepisma"
"89","ASV_89","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
